dataset,data_type,event_name,detector,url,doi_or_source,local_path,download_status,duration_s,gps_start
GWTC-3/O1-O3,strain_hdf5_4khz,GW190413_134308,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1238368256/H-H1_GWOSC_O3a_4KHZ_R1-1239195648-4096.hdf5,GWOSC,data/real_strain/GW190413_134308/H-H1_GWOSC_O3a_4KHZ_R1-1239195648-4096.hdf5,already_exists,4096.0,1239195648.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190413_134308,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1238368256/L-L1_GWOSC_O3a_4KHZ_R1-1239195648-4096.hdf5,GWOSC,data/real_strain/GW190413_134308/L-L1_GWOSC_O3a_4KHZ_R1-1239195648-4096.hdf5,already_exists,4096.0,1239195648.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190421_213856,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1239416832/H-H1_GWOSC_O3a_4KHZ_R1-1239916544-4096.hdf5,GWOSC,data/real_strain/GW190421_213856/H-H1_GWOSC_O3a_4KHZ_R1-1239916544-4096.hdf5,already_exists,4096.0,1239916544.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190421_213856,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1239416832/L-L1_GWOSC_O3a_4KHZ_R1-1239916544-4096.hdf5,GWOSC,data/real_strain/GW190421_213856/L-L1_GWOSC_O3a_4KHZ_R1-1239916544-4096.hdf5,already_exists,4096.0,1239916544.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190503_185404,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1240465408/H-H1_GWOSC_O3a_4KHZ_R1-1240944640-4096.hdf5,GWOSC,data/real_strain/GW190503_185404/H-H1_GWOSC_O3a_4KHZ_R1-1240944640-4096.hdf5,already_exists,4096.0,1240944640.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190503_185404,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1240465408/L-L1_GWOSC_O3a_4KHZ_R1-1240944640-4096.hdf5,GWOSC,data/real_strain/GW190503_185404/L-L1_GWOSC_O3a_4KHZ_R1-1240944640-4096.hdf5,already_exists,4096.0,1240944640.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190512_180714,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/H-H1_GWOSC_O3a_4KHZ_R1-1241718784-4096.hdf5,GWOSC,data/real_strain/GW190512_180714/H-H1_GWOSC_O3a_4KHZ_R1-1241718784-4096.hdf5,already_exists,4096.0,1241718784.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190512_180714,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/L-L1_GWOSC_O3a_4KHZ_R1-1241718784-4096.hdf5,GWOSC,data/real_strain/GW190512_180714/L-L1_GWOSC_O3a_4KHZ_R1-1241718784-4096.hdf5,already_exists,4096.0,1241718784.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190513_205428,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/H-H1_GWOSC_O3a_4KHZ_R1-1241812992-4096.hdf5,GWOSC,data/real_strain/GW190513_205428/H-H1_GWOSC_O3a_4KHZ_R1-1241812992-4096.hdf5,already_exists,4096.0,1241812992.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190513_205428,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/L-L1_GWOSC_O3a_4KHZ_R1-1241812992-4096.hdf5,GWOSC,data/real_strain/GW190513_205428/L-L1_GWOSC_O3a_4KHZ_R1-1241812992-4096.hdf5,already_exists,4096.0,1241812992.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190517_055101,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/H-H1_GWOSC_O3a_4KHZ_R1-1242103808-4096.hdf5,GWOSC,data/real_strain/GW190517_055101/H-H1_GWOSC_O3a_4KHZ_R1-1242103808-4096.hdf5,already_exists,4096.0,1242103808.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190517_055101,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/L-L1_GWOSC_O3a_4KHZ_R1-1242103808-4096.hdf5,GWOSC,data/real_strain/GW190517_055101/L-L1_GWOSC_O3a_4KHZ_R1-1242103808-4096.hdf5,already_exists,4096.0,1242103808.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190519_153544,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/H-H1_GWOSC_O3a_4KHZ_R1-1242312704-4096.hdf5,GWOSC,data/real_strain/GW190519_153544/H-H1_GWOSC_O3a_4KHZ_R1-1242312704-4096.hdf5,already_exists,4096.0,1242312704.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190519_153544,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/L-L1_GWOSC_O3a_4KHZ_R1-1242312704-4096.hdf5,GWOSC,data/real_strain/GW190519_153544/L-L1_GWOSC_O3a_4KHZ_R1-1242312704-4096.hdf5,already_exists,4096.0,1242312704.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190521,H1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4/H-H1_GWOSC_4KHZ_R1-1242440920-4096.hdf5,GWOSC,data/real_strain/GW190521/H-H1_GWOSC_4KHZ_R1-1242440920-4096.hdf5,already_exists,4096.0,1242440920.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190521,L1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4/L-L1_GWOSC_4KHZ_R1-1242440920-4096.hdf5,GWOSC,data/real_strain/GW190521/L-L1_GWOSC_4KHZ_R1-1242440920-4096.hdf5,already_exists,4096.0,1242440920.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190521_074359,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/H-H1_GWOSC_O3a_4KHZ_R1-1242456064-4096.hdf5,GWOSC,data/real_strain/GW190521_074359/H-H1_GWOSC_O3a_4KHZ_R1-1242456064-4096.hdf5,already_exists,4096.0,1242456064.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190521_074359,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1241513984/L-L1_GWOSC_O3a_4KHZ_R1-1242456064-4096.hdf5,GWOSC,data/real_strain/GW190521_074359/L-L1_GWOSC_O3a_4KHZ_R1-1242456064-4096.hdf5,already_exists,4096.0,1242456064.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190602_175927,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1242562560/H-H1_GWOSC_O3a_4KHZ_R1-1243533312-4096.hdf5,GWOSC,data/real_strain/GW190602_175927/H-H1_GWOSC_O3a_4KHZ_R1-1243533312-4096.hdf5,already_exists,4096.0,1243533312.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190602_175927,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1242562560/L-L1_GWOSC_O3a_4KHZ_R1-1243533312-4096.hdf5,GWOSC,data/real_strain/GW190602_175927/L-L1_GWOSC_O3a_4KHZ_R1-1243533312-4096.hdf5,already_exists,4096.0,1243533312.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190620_030421,H1,,GWOSC,,no_gwosc_url,,
