dataset,data_type,event_name,detector,url,doi_or_source,local_path,download_status,duration_s,gps_start
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231004_232346,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231004_232346-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231004_232346/IGWN-GWTC4p1-18965dda8_5-GW231004_232346-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231005_021030,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231005_021030-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231005_021030/IGWN-GWTC4p1-18965dda8_5-GW231005_021030-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231005_091549,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231005_091549-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231005_091549/IGWN-GWTC4p1-18965dda8_5-GW231005_091549-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231008_142521,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231008_142521-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231008_142521/IGWN-GWTC4p1-18965dda8_5-GW231008_142521-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231014_040532,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231014_040532-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231014_040532/IGWN-GWTC4p1-18965dda8_5-GW231014_040532-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231018_233037,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231018_233037-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231018_233037/IGWN-GWTC4p1-18965dda8_5-GW231018_233037-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231020_142947,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231020_142947-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231020_142947/IGWN-GWTC4p1-18965dda8_5-GW231020_142947-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231026_130704,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231026_130704-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231026_130704/IGWN-GWTC4p1-18965dda8_5-GW231026_130704-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231028_153006,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231028_153006-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231028_153006/IGWN-GWTC4p1-18965dda8_5-GW231028_153006-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231029_111508,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231029_111508-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231029_111508/IGWN-GWTC4p1-18965dda8_5-GW231029_111508-combined_PEDataRelease.hdf5,downloaded,,
GWTC-4.1/O4a,pe_hdf5_with_skymap_if_available,GW231102_071736,,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231102_071736-combined_PEDataRelease.hdf5/content,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231102_071736/IGWN-GWTC4p1-18965dda8_5-GW231102_071736-combined_PEDataRelease.hdf5,downloaded,,
