source_index,event_name,run,catalog,gps_time,detectors_available,network_snr,far_per_year,p_astro,mass_1_source,mass_2_source,chirp_mass_source,luminosity_distance,redshift,pe_release_url,pe_waveform_family,pe_doi,sky_map_path,sky_map_format,sky_map_group,sky_map_available,h1_l1_strain_available,embedding_available,object_class,is_ood_for_bbh_encoder,include_in_primary_search,dq_status
47,GW230806_204041,O4a_or_gap,GWTC-4.1,1375389659.9,"H1,L1",9.4,0.0035,0.99,51.0,35.0,35.9,5500.0,0.84,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230806_204041-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230806_204041/IGWN-GWTC4p1-18965dda8_5-GW230806_204041-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
48,GW230807_205045,O4a_or_gap,GWTC-4.1,1375476663.4,"H1,L1",8.1,2.9,0.82,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
49,GW230811_032116,O4a_or_gap,GWTC-4.1,1375759294.3,"H1,L1",13.6,1e-05,0.99,35.4,22.3,24.1,2100.0,0.38,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230811_032116-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230811_032116/IGWN-GWTC4p1-18965dda8_5-GW230811_032116-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
50,GW230814_061920,O4a_or_gap,GWTC-4.1,1376029178.5,"H1,L1",11.2,0.00059,0.99,69.0,42.0,46.0,4000.0,0.64,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230814_061920-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230814_061920/IGWN-GWTC4p1-18965dda8_5-GW230814_061920-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
51,GW230814_230901,O4a_or_gap,GWTC-4.1,1376089759.8,"H1,L1",43.0,1e-05,0.99,33.7,28.2,26.78,290.0,0.06,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230814_230901-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230814_230901/IGWN-GWTC4p1-18965dda8_5-GW230814_230901-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
52,GW230817_212349,O4a_or_gap,GWTC-4.1,1376342647.1,"H1,L1",7.8,2.0,0.86,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
53,GW230819_171910,O4a_or_gap,GWTC-4.1,1376500768.4,"H1,L1",9.9,0.011,0.99,70.0,35.0,42.0,4100.0,0.66,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230819_171910-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230819_171910/IGWN-GWTC4p1-18965dda8_5-GW230819_171910-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
54,GW230820_212515,O4a_or_gap,GWTC-4.1,1376601934.0,"H1,L1",9.3,0.24,0.98,62.0,34.0,38.5,4000.0,0.65,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230820_212515-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230820_212515/IGWN-GWTC4p1-18965dda8_5-GW230820_212515-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
55,GW230822_230337,O4a_or_gap,GWTC-4.1,1376780635.5,"H1,L1",8.3,1.4,0.89,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
56,GW230823_142524,O4a_or_gap,GWTC-4.1,1376835942.6,"H1,L1",8.8,1.6,0.86,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
57,GW230824_033047,O4a_or_gap,GWTC-4.1,1376883065.7,"H1,L1",11.1,1e-05,0.99,53.0,36.0,36.9,4700.0,0.74,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230824_033047-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230824_033047/IGWN-GWTC4p1-18965dda8_5-GW230824_033047-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
58,GW230824_135331,O4a_or_gap,GWTC-4.1,1376920429.9,"H1,L1",9.7,6.2,0.58,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
59,GW230825_041334,O4a_or_gap,GWTC-4.1,1376972032.5,"H1,L1",8.8,0.093,0.99,44.0,27.2,29.5,4900.0,0.76,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230825_041334-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230825_041334/IGWN-GWTC4p1-18965dda8_5-GW230825_041334-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
60,GW230830_064744,O4a_or_gap,GWTC-4.1,1377413282.2,"H1,L1",8.5,3.2,0.8,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
