method,grouping_kind,snr_group,lens_subset,n_queries,recall_at_1,recall_at_5,recall_at_10,recall_at_50,median_rank,mean_rank,mrr
time_score,query_snr,all,all,6000,0.12633333333333333,0.39566666666666667,0.5238333333333334,0.6348333333333334,9.0,239.21516666666668,0.24544941214543664
time_score,query_snr,low_snr_lt8,all,2,0.0,0.0,0.0,0.0,644.0,644.0,0.001961620469083156
time_score,query_snr,high_snr_ge8,all,5998,0.12637545848616205,0.39579859953317775,0.5240080026675559,0.6350450150050017,9.0,239.08019339779926,0.2455306018058822
time_score,query_snr,all,SIS,3000,0.012,0.056,0.10533333333333333,0.26966666666666667,179.0,474.27633333333335,0.04346509038631891
time_score,query_snr,low_snr_lt8,SIS,2,0.0,0.0,0.0,0.0,644.0,644.0,0.001961620469083156
time_score,query_snr,high_snr_ge8,SIS,2998,0.01200800533689126,0.056037358238825885,0.10540360240160107,0.2698465643762508,179.0,474.16310873915944,0.04349277782455589
time_score,query_snr,all,PM,3000,0.24066666666666667,0.7353333333333333,0.9423333333333334,1.0,3.0,4.154,0.4474337339045543
time_score,query_snr,low_snr_lt8,PM,0,,,,,,,
time_score,query_snr,high_snr_ge8,PM,3000,0.24066666666666667,0.7353333333333333,0.9423333333333334,1.0,3.0,4.154,0.4474337339045543
time_score,pair_min_snr,all,all,6000,0.12633333333333333,0.39566666666666667,0.5238333333333334,0.6348333333333334,9.0,239.21516666666668,0.24544941214543664
time_score,pair_min_snr,low_snr_lt8,all,4,0.0,0.0,0.0,0.0,644.0,643.75,0.0019800959044589637
time_score,pair_min_snr,high_snr_ge8,all,5996,0.12641761174116078,0.39593062041360905,0.5241827885256838,0.635256837891928,9.0,238.9452968645764,0.2456118333037028
time_score,pair_min_snr,all,SIS,3000,0.012,0.056,0.10533333333333333,0.26966666666666667,179.0,474.27633333333335,0.04346509038631891
time_score,pair_min_snr,low_snr_lt8,SIS,4,0.0,0.0,0.0,0.0,644.0,643.75,0.0019800959044589637
