detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,weight_grid,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_observed_sky_step,lambda_observed_sky_log_overlap
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_step,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_step",0.8985,0.9768333333333333,0.9891666666666666,1.0,3000,0.8786666666666667,0.979,0.9906666666666667,0.9963333333333333,0.9973333333333333,0.999,1.0,90,0.9973333333333333,450,0.999,900,0.9996666666666667,,,0.25,
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_step,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_step",0.8985,0.9768333333333333,0.9891666666666666,1.0,6000,0.8968333333333334,0.9838333333333333,0.9931666666666668,0.9976666666666667,0.9981666666666666,0.9995,1.0,90,0.9981666666666666,450,0.9993333333333334,900,0.9998333333333334,,,0.25,
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_log_overlap,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_log_overlap",0.872,0.9428333333333333,0.9623333333333334,1.0,6000,0.8586666666666667,0.9365,0.961,0.987,0.9905,0.9978333333333333,1.0,90,0.9896666666666667,450,0.9975,900,0.999,,,,4.0
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_log_overlap,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_log_overlap",0.872,0.9428333333333333,0.9623333333333334,1.0,3000,0.8936666666666667,0.9573333333333334,0.977,0.9933333333333333,0.9946666666666667,0.9976666666666667,1.0,90,0.9946666666666667,450,0.9973333333333333,900,0.9993333333333333,,,,4.0
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_log_overlap,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_log_overlap",0.872,0.9428333333333333,0.9623333333333334,1.0,3000,0.8236666666666667,0.9156666666666666,0.945,0.9806666666666667,0.9863333333333333,0.998,1.0,90,0.9846666666666667,450,0.9976666666666667,900,0.9986666666666667,,,,4.0
ET3,noisy,stage7_modality_combinations,waveform_plus_observed_sky_log_overlap,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","waveform,observed_sky_log_overlap",0.872,0.9428333333333333,0.9623333333333334,1.0,6000,0.8586666666666667,0.9365,0.961,0.987,0.9904999999999999,0.9978333333333333,1.0,90,0.9896666666666667,450,0.9975,900,0.999,,,,4.0
ET3,noisy,stage7_modality_combinations,raw_time_plus_observed_sky_step,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","raw_time,observed_sky_step",0.755,0.9318333333333333,0.9645,,6000,0.7683333333333333,0.9463333333333334,0.971,0.9915,0.9963333333333333,1.0,1.0,90,0.9956666666666667,450,0.9996666666666667,900,1.0,1.0,,0.25,
ET3,noisy,stage7_modality_combinations,raw_time_plus_observed_sky_step,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","raw_time,observed_sky_step",0.755,0.9318333333333333,0.9645,,3000,0.6033333333333334,0.899,0.9446666666666667,0.983,0.9926666666666667,1.0,1.0,90,0.9913333333333333,450,0.9993333333333333,900,1.0,1.0,,0.25,
ET3,noisy,stage7_modality_combinations,raw_time_plus_observed_sky_step,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","raw_time,observed_sky_step",0.755,0.9318333333333333,0.9645,,3000,0.9333333333333333,0.9936666666666667,0.9973333333333333,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,,0.25,
ET3,noisy,stage7_modality_combinations,raw_time_plus_observed_sky_step,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]","raw_time,observed_sky_step",0.755,0.9318333333333333,0.9645,,6000,0.7683333333333333,0.9463333333333334,0.971,0.9915,0.9963333333333333,1.0,1.0,90,0.9956666666666667,450,0.9996666666666667,900,1.0,1.0,,0.25,
