idx,event_name,sky_map_path,source_format,source_group,source_nside,source_ordering,common_nside,map_ra,map_dec,map_max_prob,map_area90_deg2
61,GW231113_122623,data/gwtc4p1/pe_hdf5/GW231113_122623/IGWN-GWTC4p1-18965dda8_5-GW231113_122623-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,1.846912868614312,0.18199255899971778,1.071005590201255e-05,2880.0230295789124
62,GW231113_200417,data/gwtc4p1/pe_hdf5/GW231113_200417/IGWN-GWTC4p1-18965dda8_5-GW231113_200417-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,0.0,0.7004100413571991,2.2680391341500573e-05,1623.1807958751901
63,GW231114_043211,data/gwtc4p1/pe_hdf5/GW231114_043211/IGWN-GWTC4p1-18965dda8_5-GW231114_043211-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,1.1504855909142306,0.46006953920084936,2.3974707803896248e-05,1535.5401797666552
64,GW231118_005626,data/gwtc4p1/pe_hdf5/GW231118_005626/IGWN-GWTC4p1-18965dda8_5-GW231118_005626-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,512,RING,512,1.205708899278114,-0.5708703387884202,3.8439913620371796e-05,1041.0126272523883
65,GW231118_071402,data/gwtc4p1/pe_hdf5/GW231118_071402/IGWN-GWTC4p1-18965dda8_5-GW231118_071402-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,3.561423671842247,-1.1286557612125199,1.0465326338687868e-05,3437.9172523066227
66,GW231118_090602,data/gwtc4p1/pe_hdf5/GW231118_090602/IGWN-GWTC4p1-18965dda8_5-GW231118_090602-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,2.582181697585007,1.2310845608365104,3.441583612296189e-05,1203.4028336375425
67,GW231119_075248,data/gwtc4p1/pe_hdf5/GW231119_075248/IGWN-GWTC4p1-18965dda8_5-GW231119_075248-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,128,RING,512,2.6473664922323743,1.2424051568724392,6.316221061131892e-06,5954.263854244971
68,GW231127_165300,data/gwtc4p1/pe_hdf5/GW231127_165300/IGWN-GWTC4p1-18965dda8_5-GW231127_165300-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,0.7792622402459056,0.6021386078035353,1.1561449357086038e-05,4240.885219435993
69,GW231129_081745,data/gwtc4p1/pe_hdf5/GW231129_081745/IGWN-GWTC4p1-18965dda8_5-GW231129_081745-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,0.38129288430498526,1.184063305791303,1.7721955378730837e-05,4210.054291937689
70,GW231206_233134,data/gwtc4p1/pe_hdf5/GW231206_233134/IGWN-GWTC4p1-18965dda8_5-GW231206_233134-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,0.14419419406125028,-0.6084722604164647,1.779301964969339e-05,2348.6058985649734
71,GW231206_233901,data/gwtc4p1/pe_hdf5/GW231206_233901/IGWN-GWTC4p1-18965dda8_5-GW231206_233901-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,1.7257283863713462,0.20454840488055148,0.00010745074541636836,350.3132991332172
72,GW231213_111417,data/gwtc4p1/pe_hdf5/GW231213_111417/IGWN-GWTC4p1-18965dda8_5-GW231213_111417-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,2.7550294950426117,-0.15293927208980573,2.6407955378759292e-05,2460.769625869522
73,GW231221_135041,data/gwtc4p1/pe_hdf5/GW231221_135041/IGWN-GWTC4p1-18965dda8_5-GW231221_135041-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,4.561610536408676,-1.0067933816249446,1.4190520233104023e-05,3601.789336534103
74,GW231223_032836,data/gwtc4p1/pe_hdf5/GW231223_032836/IGWN-GWTC4p1-18965dda8_5-GW231223_032836-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,2.957861977833578,-0.9400462858093133,1.2215309652229612e-05,4085.9175162256756
75,GW231223_075055,data/gwtc4p1/pe_hdf5/GW231223_075055/IGWN-GWTC4p1-18965dda8_5-GW231223_075055-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,512,RING,512,4.108000549957747,-0.5432573112410597,4.1623570722064305e-05,1450.6272680050567
76,GW231223_202619,data/gwtc4p1/pe_hdf5/GW231223_202619/IGWN-GWTC4p1-18965dda8_5-GW231223_202619-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,64,RING,512,1.1780972450961724,-0.6503547143445942,9.554610188651961e-07,27214.424295052242
77,GW231224_024321,data/gwtc4p1/pe_hdf5/GW231224_024321/IGWN-GWTC4p1-18965dda8_5-GW231224_024321-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,1024,RING,512,3.7398984505203554,-0.9165162612356506,0.00011604275639802059,826.9796337603342
78,GW231226_101520,data/gwtc4p1/pe_hdf5/GW231226_101520/IGWN-GWTC4p1-18965dda8_5-GW231226_101520-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,1024,RING,512,3.5716521130399816,0.7973593954618483,0.00019973769662466674,406.19189635579187
79,GW231230_170116,data/gwtc4p1/pe_hdf5/GW231230_170116/IGWN-GWTC4p1-18965dda8_5-GW231230_170116-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,128,RING,512,3.0250101137104846,-0.3914297520050338,5.612386304583392e-06,6602.31657401685
80,GW231231_154016,data/gwtc4p1/pe_hdf5/GW231231_154016/IGWN-GWTC4p1-18965dda8_5-GW231231_154016-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,64,RING,512,5.350524988145115,-0.36341552363232243,1.057065788018485e-06,27143.622007700757
81,GW240104_164932,data/gwtc4p1/pe_hdf5/GW240104_164932/IGWN-GWTC4p1-18965dda8_5-GW240104_164932-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,64,RING,512,6.17273869045182,-0.39707085025135624,9.530385795212988e-07,28542.606488598914
82,GW240107_013215,data/gwtc4p1/pe_hdf5/GW240107_013215/IGWN-GWTC4p1-18965dda8_5-GW240107_013215-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,3.3962334643788097,-0.5832999705996689,1.351011360623653e-05,4766.5715485287255
83,GW240109_050431,data/gwtc4p1/pe_hdf5/GW240109_050431/IGWN-GWTC4p1-18965dda8_5-GW240109_050431-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,64,RING,512,0.4573603762756225,1.171054887799441,9.263493439924437e-07,28125.438205039347
